会社名,ホームページURL,代表者名,住所1,住所2,従業員数,資本金,設立年,設立月,上場区分,業態,業界1,業界2-1,業界2-2,業界2-3,業界2-4,業界2-5,業界2-6,業界2-7,業界2-8,業界2-9,業界2-10,業界2-11,業界2-12,業界2-13,業界2-14,業界2-15,業界2-16,業界2-17,業界2-18,業界2-19,業界2-20
株式会社静鉄情報センター,https://shizutetsu-info.com,久保田光二,静岡県,静岡市葵区,110,10000,1976,4,未上場,BtoB,IT,クレジット・決済代行,,,,,,,,,,,,,,,,,,,,
日本デジコム株式会社,https://www.digicomnet.co.jp,宮司和泰,静岡県,,105,8000,1998,4,未上場,BtoB,IT,製造・技術人材派遣,システム開発,,,,,,,,,,,,,,,,,,,
株式会社丸菱,http://www.marubisi.co.jp,米浜謙二,石川県,金沢市,103,4000,,,未上場,BtoB,IT,ソフトウェア商社,医療機器商社,,,,,,,,,,,,,,,,,,,
天方産業株式会社,http://www.amagata.com,松本吉央,静岡県,,103,6020,1972,9,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社建設ドットウェブ,https://www.kendweb.net,三國浩明,石川県,金沢市,106,10000,2001,1,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社ソフト,http://www.soft-co.jp,古嶋晃宏,富山県,富山市,100,4000,1983,6,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社ピックアップジャパン,http://www.pickup-japan.com,鶴田敦,静岡県,磐田市,135,4843,1961,4,未上場,BtoC,IT,リサイクルショップ,総合系eコマース,,,,,,,,,,,,,,,,,,,
日本製紙ユニテック株式会社,http://www.npunitec.co.jp,上田彰司,静岡県,富士市,101,4000,1972,11,未上場,BtoB,IT,商業施設・公共施設建設,産業用電気設備工事,,,,,,,,,,,,,,,,,,,
大和電建株式会社,http://www.daiwadenken.co.jp,髙村文能,福井県,福井市,98,2400,1956,9,未上場,BtoB,IT,産業用電気設備工事,,,,,,,,,,,,,,,,,,,,
ディーアイシージャパン株式会社,https://www.dicjapan.co.jp,小坂誠,長野県,信濃町,104,10000,1982,9,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社トヤマデータセンター,https://www.tdc-ict.co.jp,黒澤章,富山県,富山市,99,5000,1970,5,未上場,BtoB,IT,ソフトウェア商社,Web制作,,,,,,,,,,,,,,,,,,,
株式会社ダイセン工業,https://www.daisen-inc.co.jp,林達男,岐阜県,中津川市,100,4800,1955,8,未上場,BtoB,IT,プラスチック成形機器,システム開発,金型製造,,,,,,,,,,,,,,,,,,
アスリートFA株式会社,http://www.athlete-fa.jp,山崎晋,長野県,諏訪市,100,8580,1988,9,未上場,BtoB,IT,産業用ロボット,電子部品,,,,,,,,,,,,,,,,,,,
株式会社マクシード,http://www.maxceed.jp,栗島健,静岡県,沼津市,97,1000,1982,6,未上場,BtoB,IT,システム開発,電子部品,,,,,,,,,,,,,,,,,,,
株式会社カシックス,https://www.kasix.co.jp,町永一芳,新潟県,柏崎市,109,8500,1987,4,未上場,BtoB,IT,システム開発,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,
株式会社フォーワテック・ジャパン,https://www.forwatec.co.jp,田中義晶,新潟県,三条市,95,2000,1975,4,未上場,"BtoC,BtoB",IT,紙媒体印刷,Webアプリ・サービス運営,eコマース,,,,,,,,,,,,,,,,,,
NES株式会社,https://www.neskk.co.jp,成川和彦,富山県,富山市,94,4400,1970,5,未上場,BtoB,IT,情報セキュリティ,,,,,,,,,,,,,,,,,,,,
コムテックス株式会社,https://www.ctx.co.jp,後藤敏郎,富山県,高岡市,99,3600,1989,4,未上場,BtoB,IT,システム開発,PC販売・修理,ソフトウェア商社,,,,,,,,,,,,,,,,,,
オリオンシステム株式会社,http://www.orionsystem.co.jp,山中義夫,長野県,須坂市,94,1000,1982,11,未上場,BtoB,IT,デザイン,,,,,,,,,,,,,,,,,,,,
株式会社エリジオン,https://www.elysium-global.com,吉富ポール望,静岡県,,97,3000,1999,11,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
エヌ・エス・ケイ株式会社,http://www.nsk-inc.co.jp,石黒達也,長野県,長野市,94,2200,1992,12,未上場,BtoB,IT,システム開発,製造・技術人材派遣,,,,,,,,,,,,,,,,,,,
北国インテックサービス株式会社,https://www.hokkoku-intec.co.jp,青木政二,石川県,金沢市,93,2500,1979,9,未上場,BtoB,IT,システム開発,ソフトウェア商社,,,,,,,,,,,,,,,,,,,
株式会社電算インフォメーション,http://www.d-info.co.jp,村松克己,静岡県,静岡市駿河区,91,1000,1979,8,未上場,BtoB,IT,システム開発,オフィス用品,,,,,,,,,,,,,,,,,,,
株式会社アペックス,https://apex-ibi.co.jp,市田和彦,岐阜県,揖斐川町,90,2000,1992,5,未上場,"BtoC,BtoB",IT,Webアプリ・サービス運営,人材紹介,製造・技術人材派遣,,,,,,,,,,,,,,,,,,
矢木コーポレーション株式会社,http://www.yagicompany.jp,矢木健一,長野県,長野市,91,5000,1966,2,未上場,BtoB,IT,交通関連土木工事,太陽光パネル,,,,,,,,,,,,,,,,,,,
高山理化精機株式会社,http://www.takayamarika.co.jp,松澤一徳,長野県,松本市,89,5210,1949,1,未上場,BtoB,IT,水産用機械商社,システム開発,工業用機械商社,,,,,,,,,,,,,,,,,,
サスナカ通信工業株式会社,http://www.sasunaka.co.jp,宮坂昌樹,長野県,松本市,89,2250,1964,7,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社ジャパンネット,http://www.japannet.co.jp,山本和則,新潟県,新潟市中央区,91,2000,1986,6,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
株式会社パスカル,https://www.pascal.ne.jp,井上隆,長野県,佐久市,88,2000,1984,4,未上場,BtoB,IT,ITインフラストラクチャー,Web制作,オフィス用品レンタル,,,,,,,,,,,,,,,,,,
株式会社電興社,http://www.denkosha.co.jp,山内致雄,静岡県,,87,1200,1962,1,未上場,BtoB,IT,電子部品商社,システム開発,,,,,,,,,,,,,,,,,,,
NEC静岡ビジネス株式会社,http://www.nec-sbusiness.co.jp,近藤秀一,静岡県,掛川市,88,2000,1981,7,未上場,BtoB,IT,ITインフラストラクチャー,,,,,,,,,,,,,,,,,,,,
マリモ電子工業株式会社,https://marimo-el.co.jp,清水久夫,長野県,上田市,86,4000,1980,9,未上場,BtoB,IT,,,,,,,,,,,,,,,,,,,,,
株式会社カトム,http://www.kdg.co.jp,加藤修央,山梨県,富士吉田市,86,8000,1988,3,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
クレスコ北陸株式会社,http://www.cresco-hokuriku.jp,角野正樹,石川県,金沢市,86,5000,2003,4,未上場,BtoB,IT,システム開発,,,,,,,,,,,,,,,,,,,,
東洋印刷株式会社,http://www.toyo-printing.com,勝間田信輔,静岡県,三島市,86,1000,1958,4,未上場,BtoB,IT,デザイン,システム開発,紙媒体印刷,,,,,,,,,,,,,,,,,,
